order_gk,offer_id
3000593046122,300051402413
3000593445695,300051417873
3000594071165,300051451079
3000592121249,300051356650
3000555522169,300050716672
3000555520847,300050715474
3000557785813,300050779135
3000554996824,300050697820
3000589332348,300051267480
3000622792218,300051785751
3000627507743,300052091567
3000623167687,300051832839
3000599836817,300051679330
3000632823194,300052401884
3000554970950,300050694694
3000578476256,300050879953
3000587830687,300051183844
3000622817429,300051791578
3000622141321,300051752498
3000622715460,300051781387
3000632122862,300052356783
3000628280735,300052134132
3000627957050,300052114910
3000584967246,300051095251
3000586416785,300051149052
3000589931041,300051297726
3000587132542,300051154835
3000592095601,300051355133
3000617551413,300051725120
3000595471806,300051532449
3000629206600,300052212613
3000632972235,300052416159
3000584966597,300051094377
3000555521594,300050716154
3000557285845,300050762136
3000598637455,300051620677
3000578576957,300050887571
3000588131083,300051200691
3000589332904,300051268205
3000591406141,300051352753
3000623466567,300051844559
3000629131711,300052204719
3000622967068,300051807205
3000623191641,300051835125
3000624915994,300051952114
3000623442512,300051841812
3000625642048,300051995171
3000553146492,300050620781
3000553046690,300050617348
3000555096367,300050703154
3000588432969,300051212672
3000577826504,300050841467
3000579926397,300050943300
3000583041348,300050982787
3000584091099,300051039994
3000585491801,300051115462
3000578676155,300050893741
3000579025686,300050913384
3000599437026,300051664924
3000557762836,300050777994
3000598661774,300051622439
3000592220779,300051364154
3000617402132,300051714002
3000584116678,300051043736
3000584766420,300051081493
3000593046138,300051402486
3000587405995,300051169546
3000593471435,300051422046
3000593798137,300051445568
3000578651056,300050891593
3000592772800,300051384976
3000593421347,300051415643
3000593046138,300051402418
3000578600672,300050887806
3000589056092,300051245567
3000587131904,300051153792
3000558086327,300050798384
3000582940986,300050977714
3000593046106,300051402398
3000582040659,300050954088
3000577951817,300050850194
3000584967418,300051095224
3000583641558,300051018760
3000587931864,300051189814
3000552195732,300050593987
3000594447894,300051484918
3000625142497,300051975993
3000622416973,300051772808
3000629605563,300052243992
3000624866517,300051946065
3000600036318,300051691373
3000623468928,300051847204
3000586040893,300051135418
3000628432752,300052139146
3000625566056,300051989608
3000589580631,300051281166
3000592771913,300051383822
3000556296047,300050745827
3000629732136,300052247792
3000633147764,300052442109
3000632972287,300052416304
3000627630433,300052093467
3000623516820,300051850264
3000632822598,300052401201
3000632823083,300052401731
3000557961483,300050789678
3000582416065,300050961561
3000556171891,300050740776
3000578177237,300050870797
3000593395754,300051414285
3000577301393,300050818824
3000586415989,300051148597
3000553121300,300050619645
3000591105787,300051342397
3000598787884,300051634970
3000588432080,300051211415
3000596371335,300051564066
3000623017108,300051814936
3000625116765,300051973076
3000583667421,300051021751
3000590531714,300051322709
3000590881119,300051339098
3000593046139,300051402445
3000594421353,300051481349
3000594296568,300051472317
3000623591315,300051853962
3000624092285,300051882730
3000617676287,300051731691
3000629458000,300052239508
3000630756829,300052316583
3000624867683,300051947884
3000625767002,300052003160
3000630106879,300052284839
3000628807592,300052188486
3000597085733,300051570548
3000617901558,300051736560
3000623566100,300051852496
3000624290876,300051898191
3000625641732,300051994847
3000626166001,300052017854
3000627931605,300052113048
3000589082261,300051248193
3000593672373,300051435222
3000594371182,300051478553
3000589205799,300051257688
3000592822024,300051389697
3000554071367,300050649956
3000557785644,300050778654
3000558060851,300050796952
3000552771779,300050604940
3000555447006,300050712703
3000622817220,300051791394
3000623216430,300051836370
3000622142422,300051754108
3000624343202,300051906394
3000625441443,300051982390
3000627159845,300052047718
3000589380917,300051271377
3000592171781,300051362712
3000593596044,300051427969
3000594146556,300051462291
3000554895662,300050688316
3000558112028,300050800361
3000589406927,300051273312
3000594320929,300051473649
3000578703620,300050899586
3000583442792,300050996430
3000583540903,300051011245
3000588106671,300051199952
3000590607488,300051326752
3000626142204,300052017604
3000595496605,300051533513
3000596171459,300051557568
3000599936835,300051685412
3000632396497,300052380004
3000622817077,300051791127
3000625667990,300051997682
3000629356986,300052229564
3000630807245,300052321177
3000625915820,300052010395
3000628530677,300052147587
3000629332813,300052227419
3000624292747,300051900264
3000585791573,300051130327
3000624967659,300051959917
3000625566168,300051989675
3000631056053,300052324911
3000594796250,300051498739
3000624841997,300051941469
3000624941100,300051955318
3000625817263,300052007802
3000622916850,300051803059
3000590631828,300051327861
3000630406687,300052292638
3000587055634,300051150594
3000629306977,300052223037
3000629832014,300052257950
3000630656877,300052309028
3000632146336,300052358817
3000632846874,300052404045
3000631182332,300052335247
3000632970797,300052414229
3000633022296,300052427016
3000630656338,300052308230
3000632146061,300052358227
3000632822260,300052400851
3000632396644,300052380230
3000627157862,300052044779
3000625240732,300051978073
3000627230802,300052053582
3000627856516,300052108351
3000628706088,300052175126
3000623042653,300051820152
3000625142283,300051975723
3000628430698,300052136260
3000599737049,300051672997
3000597911142,300051591111
3000599861745,300051681018
3000617552667,300051726254
3000583469555,300051002392
3000590007623,300051305482
3000553096065,300050618665
3000583469654,300051002580
3000629106421,300052199862
3000631081779,300052326270
3000632295930,300052369798
3000632345958,300052373858
3000595596811,300051538082
3000578652010,300050892729
3000581990653,300050953147
3000584241836,300051052525
3000580026589,300050947486
3000582817970,300050972411
3000586391466,300051148149
3000599061467,300051640327
3000630106551,300052284500
3000628406119,300052135722
3000630405602,300052291666
3000630657117,300052309403
3000632446455,300052382947
3000633121561,300052437045
3000578001478,300050852461
3000594271503,300051470236
3000551970519,300050591955
3000596346166,300051563028
3000629332371,300052226763
3000578702245,300050897671
3000632371614,300052377205
3000631206249,300052335875
3000622317043,300051765883
3000623667803,300051861093
3000625116021,300051972119
3000628706266,300052175405
3000578851245,300050909464
3000579251259,300050919514
3000552845647,300050607909
